view,operations_sensitivity,monthly_requests,token_profile,utilization_tier,quality_sensitivity_path,quality_delta_points,managed_quality_rate,private_quality_rate,replicas,managed_total_usd,private_total_usd,gateway_runtime_usd,network_nat_usd,control_plane_usd,shared_storage_usd,observability_usd,operations_engineering_allocation_usd,managed_cost_per_1m_provider_billed_tokens_usd,managed_token_definition,private_cost_per_1m_normalized_tokens_usd,private_token_definition,managed_cost_per_correct_task_usd,private_cost_per_correct_task_usd,lower_cost_path
view_a,not_applicable,10000,short,low,managed,-5,0.8388888888888888,0.8888888888888888,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003433112582781457317415902811,0.06518880000000000651888000000,managed
view_b,low,10000,short,low,managed,-5,0.8388888888888888,0.8888888888888888,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02334135099337748591696434367,0.08397720000000000839772000000,managed
view_b,typical,10000,short,low,managed,-5,0.8388888888888888,0.8888888888888888,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.06148704635761590055491881935,0.1199772000000000119977200000,managed
view_b,high,10000,short,low,managed,-5,0.8388888888888888,0.8888888888888888,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3618843973509934158288103153,0.4034772000000000403477200000,managed
view_a,not_applicable,10000,short,low,private,-5,0.8888888888888888,0.8388888888888888,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003240000000000000324000000000,0.06907422516556292122640796456,managed
view_b,low,10000,short,low,private,-5,0.8888888888888888,0.8388888888888888,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02202840000000000220284000000,0.08898246357615894982595640542,managed
view_b,typical,10000,short,low,private,-5,0.8888888888888888,0.8388888888888888,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.05802840000000000580284000000,0.1271281589403973644639108811,managed
view_b,high,10000,short,low,private,-5,0.8888888888888888,0.8388888888888888,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3415284000000000341528400000,0.4275255099337748797378023771,managed
view_a,not_applicable,10000,short,low,measured,0,0.8888888888888888,0.8888888888888888,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003240000000000000324000000000,0.06518880000000000651888000000,managed
view_b,low,10000,short,low,measured,0,0.8888888888888888,0.8888888888888888,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02202840000000000220284000000,0.08397720000000000839772000000,managed
view_b,typical,10000,short,low,measured,0,0.8888888888888888,0.8888888888888888,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.05802840000000000580284000000,0.1199772000000000119977200000,managed
view_b,high,10000,short,low,measured,0,0.8888888888888888,0.8888888888888888,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3415284000000000341528400000,0.4034772000000000403477200000,managed
view_a,not_applicable,10000,short,low,managed,5,0.9388888888888888,0.8888888888888888,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003067455621301775438338993733,0.06518880000000000651888000000,managed
view_b,low,10000,short,low,managed,5,0.9388888888888888,0.8888888888888888,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02085528994082840434132922517,0.08397720000000000839772000000,managed
view_b,typical,10000,short,low,managed,5,0.9388888888888888,0.8888888888888888,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.05493813017751479810065137775,0.1199772000000000119977200000,managed
view_b,high,10000,short,low,managed,5,0.9388888888888888,0.8888888888888888,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3233404970414201489553133294,0.4034772000000000403477200000,managed
view_a,not_applicable,10000,short,low,private,5,0.8888888888888888,0.9388888888888888,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003240000000000000324000000000,0.06171720710059172181938055390,managed
view_b,low,10000,short,low,private,5,0.8888888888888888,0.9388888888888888,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02202840000000000220284000000,0.07950504142011835072237078534,managed
view_b,typical,10000,short,low,private,5,0.8888888888888888,0.9388888888888888,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.05802840000000000580284000000,0.1135878816568047444816929379,managed
view_b,high,10000,short,low,private,5,0.8888888888888888,0.9388888888888888,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3415284000000000341528400000,0.3819902485207100953363548895,managed
view_a,not_applicable,10000,short,typical,managed,-5,0.8388888888888888,0.8888888888888888,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003433112582781457317415902811,0.06518880000000000651888000000,managed
view_b,low,10000,short,typical,managed,-5,0.8388888888888888,0.8888888888888888,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02334135099337748591696434367,0.08397720000000000839772000000,managed
view_b,typical,10000,short,typical,managed,-5,0.8388888888888888,0.8888888888888888,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.06148704635761590055491881935,0.1199772000000000119977200000,managed
view_b,high,10000,short,typical,managed,-5,0.8388888888888888,0.8888888888888888,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3618843973509934158288103153,0.4034772000000000403477200000,managed
view_a,not_applicable,10000,short,typical,private,-5,0.8888888888888888,0.8388888888888888,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003240000000000000324000000000,0.06907422516556292122640796456,managed
view_b,low,10000,short,typical,private,-5,0.8888888888888888,0.8388888888888888,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02202840000000000220284000000,0.08898246357615894982595640542,managed
