view,operations_sensitivity,monthly_requests,token_profile,utilization_tier,quality_sensitivity_path,quality_delta_points,managed_quality_rate,private_quality_rate,replicas,managed_total_usd,private_total_usd,gateway_runtime_usd,network_nat_usd,control_plane_usd,shared_storage_usd,observability_usd,operations_engineering_allocation_usd,managed_cost_per_1m_provider_billed_tokens_usd,managed_token_definition,private_cost_per_1m_normalized_tokens_usd,private_token_definition,managed_cost_per_correct_task_usd,private_cost_per_correct_task_usd,lower_cost_path
view_a,not_applicable,10000,short,low,managed,-5,0.8333333333333333,0.8833333333333333,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003456000000000000138240000000,0.06559879245283019115467141331,managed
view_b,low,10000,short,low,managed,-5,0.8333333333333333,0.8833333333333333,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02349696000000000093987840000,0.08450535849056604092473050908,managed
view_b,typical,10000,short,low,managed,-5,0.8333333333333333,0.8833333333333333,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.06189696000000000247587840000,0.1207317735849056649332744749,managed
view_b,high,10000,short,low,managed,-5,0.8333333333333333,0.8833333333333333,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3642969600000000145718784000,0.4060147924528302040005582058,managed
view_a,not_applicable,10000,short,low,private,-5,0.8833333333333333,0.8333333333333333,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003260377358490566160768956924,0.06953472000000000278138880000,managed
view_b,low,10000,short,low,private,-5,0.8833333333333333,0.8333333333333333,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02216694339622641593082805269,0.08957568000000000358302720000,managed
view_b,typical,10000,short,low,private,-5,0.8833333333333333,0.8333333333333333,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.05839335849056603993937201851,0.1279756800000000051190272000,managed
view_b,high,10000,short,low,private,-5,0.8833333333333333,0.8333333333333333,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3436763773584905790066557494,0.4303756800000000172150272000,managed
view_a,not_applicable,10000,short,low,measured,0,0.8833333333333333,0.8833333333333333,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003260377358490566160768956924,0.06559879245283019115467141331,managed
view_b,low,10000,short,low,measured,0,0.8833333333333333,0.8833333333333333,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02216694339622641593082805269,0.08450535849056604092473050908,managed
view_b,typical,10000,short,low,measured,0,0.8833333333333333,0.8833333333333333,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.05839335849056603993937201851,0.1207317735849056649332744749,managed
view_b,high,10000,short,low,measured,0,0.8833333333333333,0.8833333333333333,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3436763773584905790066557494,0.4060147924528302040005582058,managed
view_a,not_applicable,10000,short,low,managed,5,0.9333333333333333,0.8833333333333333,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003085714285714285824489795918,0.06559879245283019115467141331,managed
view_b,low,10000,short,low,managed,5,0.9333333333333333,0.8833333333333333,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02097942857142857217783673469,0.08450535849056604092473050908,managed
view_b,typical,10000,short,low,managed,5,0.9333333333333333,0.8833333333333333,1,515.8080,1066.4640,4.4640,32.400,72.00,3.1680,14.9760,360.0,161.1900,provider-billed input + output tokens,333.2700,normalized input + visible output tokens,0.05526514285714285911661224490,0.1207317735849056649332744749,managed
view_b,high,10000,short,low,managed,5,0.9333333333333333,0.8833333333333333,1,3035.8080,3586.4640,4.4640,32.400,72.00,3.1680,14.9760,2880.0,948.6900,provider-billed input + output tokens,1120.7700,normalized input + visible output tokens,0.3252651428571428687594693878,0.4060147924528302040005582058,managed
view_a,not_applicable,10000,short,low,private,5,0.8833333333333333,0.9333333333333333,1,28.80,579.4560,,,,,,,9.00,provider-billed input + output tokens,181.0800,normalized input + visible output tokens,0.003260377358490566160768956924,0.06208457142857143078873469388,managed
view_b,low,10000,short,low,private,5,0.8833333333333333,0.9333333333333333,1,195.8080,746.4640,4.4640,32.400,72.00,3.1680,14.9760,40.00,61.1900,provider-billed input + output tokens,233.2700,normalized input + visible output tokens,0.02216694339622641593082805269,0.07997828571428571714208163265,managed
